Date,idr Exchange Rate
01/1990,1804.85
02/1990,1809.87
03/1990,1820.35
04/1990,1826.05
05/1990,1831.4
06/1990,1841
07/1990,1846.96
08/1990,1854.92
09/1990,1860.35
10/1990,1865.85
11/1990,1860.48
12/1990,1891.68
01/1991,1907.54
02/1991,1914
03/1991,1927.12
04/1991,1934.61
05/1991,1942.92
06/1991,1950.96
07/1991,1956.65
08/1991,1961.35
09/1991,1966.05
10/1991,1973.59
11/1991,1980.62
12/1991,1988.4
01/1992,1998.23
02/1992,2006.63
03/1992,2014.83
04/1992,2019.61
05/1992,2024.52
06/1992,2030.08
07/1992,2033.38
08/1992,2033.92
09/1992,2037.72
10/1992,2045.33
11/1992,2054.8
12/1992,2060
01/1993,2064.78
02/1993,2066.63
03/1993,2069.13
04/1993,2070.73
05/1993,2076.6316
06/1993,2083.41
07/1993,2093
08/1993,2097.38
09/1993,2105.42
10/1993,2107.9048
11/1993,2102.19
12/1993,2108.04
01/1994,2116.9048
02/1994,2129
03/1994,2140.2173
04/1994,2147.95
05/1994,2151.9473
06/1994,2158
07/1994,2164.27
08/1994,2171.5217
09/1994,2178.7727
10/1994,2184.0476
11/1994,2189.2727
12/1994,2197.14
01/1995,2203.68
02/1995,2209.75
03/1995,2215
04/1995,2222.3157
05/1995,2231.89
06/1995,2241.36
07/1995,2251.57
08/1995,2262
09/1995,2271.81
10/1995,2280.86
11/1995,2290.64
12/1995,2302.42
01/1996,2306.25
02/1996,2317.5
03/1996,2330.762
04/1996,2339.25
05/1996,2349
06/1996,2344
07/1996,2348.5
08/1996,2358.5
09/1996,2344
10/1996,2344.0435
11/1996,2348
12/1996,2377.75
01/1997,2393
02/1997,2403
03/1997,2413.8
04/1997,2426.8
05/1997,2438.3
06/1997,2446.59
07/1997,2518.3
08/1997,2800.37
09/1997,3055.3
10/1997,3616.3
11/1997,3492
12/1997,4908.8
01/1998,9662.5
02/1998,8950
03/1998,9687.57
04/1998,7950
05/1998,9897.3
06/1998,13535
07/1998,13962.5
08/1998,11950
09/1998,10843.8
10/1998,8287.5
11/1998,7685.3
12/1998,7752
01/1999,8714.3
02/1999,8726
03/1999,8886.8
04/1999,8547.8
05/1999,7990.3
06/1999,7225.5
07/1999,6808.8
08/1999,7509.5
09/1999,8274.8
10/1999,7349.5
11/1999,7072.5
12/1999,7156
01/2000,7278.8
02/2000,7415
03/2000,7479
04/2000,7790
05/2000,8407.5
06/2000,8663.3
07/2000,9207.8
08/2000,8317.5
09/2000,8610.3
10/2000,9027.5
11/2000,9378.3
12/2000,9486.3
01/2001,9487
02/2001,9673.3
03/2001,10178.8
04/2001,11182
05/2001,11230
06/2001,11313
07/2001,10707
08/2001,8828.8
09/2001,9306.5
10/2001,10115.5
11/2001,10576
12/2001,10532.3
01/2002,10377.3
02/2002,10229.3
03/2002,9866.8
04/2002,9403
05/2002,9078
06/2002,8748.8
07/2002,8983
08/2002,8920.3
09/2002,8963.8
10/2002,9193
11/2002,9059
12/2002,8912
01/2003,8890
02/2003,8897
03/2003,8929.5
04/2003,8795.8
05/2003,8406.3
06/2003,8235.8
07/2003,8368.5
08/2003,8516
09/2003,8439.3
10/2003,8445.3
11/2003,8516.3
12/2003,8485.8
01/2004,8382.5
02/2004,8432
03/2004,8594.3
04/2004,8623
05/2004,8978.3
06/2004,9403
07/2004,9046.5
08/2004,9256
09/2004,9166
10/2004,9093.3
11/2004,9037.5
12/2004,9253.8
01/2005,9195.3
02/2005,9236.3
03/2005,9391.3
04/2005,9542.5
05/2005,9476.3
06/2005,9632.8
07/2005,9798.5
08/2005,9966.3
09/2005,10218.8
10/2005,10090
11/2005,10067.5
12/2005,9841.3
01/2006,9448.8
02/2006,9250
03/2006,9125.8
04/2006,8922.5
05/2006,9055
06/2006,9367.5
07/2006,9123.8
08/2006,9085
09/2006,9158.8
10/2006,9170
11/2006,9136.3
12/2006,9068.3
01/2007,9077.5
02/2007,9085
03/2007,9159
04/2007,9099.8
05/2007,8794.5
06/2007,9010.5
07/2007,9081.8
08/2007,9368.5
09/2007,9276.5
10/2007,9104.8
11/2007,9282.3
12/2007,9351.8
01/2008,9394.8
02/2008,9164
03/2008,9185.8
04/2008,9212
05/2008,9300.3
06/2008,9283.5
07/2008,9145.3
08/2008,9149.25
09/2008,9372.8
10/2008,10100
11/2008,11836
12/2008,11243.8
01/2009,11178.5
02/2009,11866.3
03/2009,11847.5
04/2009,10978.3
05/2009,10339.5
06/2009,10209.3
07/2009,10095.8
08/2009,9984.5
09/2009,9816.8
10/2009,9445.5
11/2009,9459.5
12/2009,9457.75
01/2010,9296.5
02/2010,9346.5
03/2010,9168.5
04/2010,9017.3
05/2010,9225.5
06/2010,9153
07/2010,9032
08/2010,8987.8
09/2010,8965.3
10/2010,8928.5
11/2010,8948
12/2010,9016.3
01/2011,9049.5
02/2011,8894
03/2011,8748
04/2011,8629.5
05/2011,8557.5
06/2011,8565.5
07/2011,8526.8
08/2011,8550.3
09/2011,8722.8
10/2011,8891
11/2011,9035
12/2011,9075.3
01/2012,9073.8
02/2012,9048
03/2012,9184
04/2012,9176.75
05/2012,9321.25
06/2012,9449
07/2012,9418.25
08/2012,9505.25
09/2012,9578
10/2012,9603.25
11/2012,9625.25
12/2012,9656.75
01/2013,9702.75
02/2013,9697.25
03/2013,9709.42
04/2013,9724.05
05/2013,9760.91
06/2013,9881.53
07/2013,10073.13
08/2013,10572.5
09/2013,11346.24
10/2013,11366.9
11/2013,11613.1
12/2013,12087.1
01/2014,12179.65
02/2014,11935.1
03/2014,11427.05
04/2014,11435.75
05/2014,11525.94
06/2014,11892.62
07/2014,11689.0555555556
08/2014,11706.05
09/2014,11849.86
10/2014,12144.87
11/2014,12158.3
12/2014,12438.29
01/2015,12579.0952380952
02/2015,12749.84
03/2015,13066.82
04/2015,12947.76
05/2015,13140.53
06/2015,13313.24
07/2015,13374.79
08/2015,13781.75
09/2015,14396.1
10/2015,13795.86
11/2015,13672.57
12/2015,13854.6
01/2016,13889.05
02/2016,13515.7
03/2016,13193.14
04/2016,13179.86
05/2016,13419.65
06/2016,13355.05
07/2016,13118.8235294118
08/2016,13165
09/2016,13118.24
10/2016,13017.2380952381
11/2016,13310.5
12/2016,13417.67
01/2017,13358.7142857143
02/2017,13340.8421052632
03/2017,13345.5
04/2017,13306.3888888889
05/2017,13323.35
06/2017,13298.25
07/2017,13342.0952380952
08/2017,13341.8181818182
09/2017,13303.4736842105
10/2017,13526
11/2017,13527.3636363636
12/2017,13556.2105263158
01/2018,13380.3636363636
02/2018,13590.0526315789
03/2018,13758.2857142857
04/2018,13802.9523809524
05/2018,14059.7
06/2018,14036.1428571429
07/2018,14414.5
08/2018,14559.8571428571
09/2018,14868.7368421053
10/2018,15178.8695652174
11/2018,14696.8571428571
12/2018,14496.9473684211
01/2019,14163.1363636364
02/2019,14035.2105263158
03/2019,14211
04/2019,14142.5789473684
05/2019,14392.8095238095
06/2019,14226.5333333333
07/2019,14043.9130434783
08/2019,14242.0454545455
09/2019,14111.0952380952
10/2019,14117.5652173913
11/2019,14068.7164285714
12/2019,14017.45225
01/2020,13732.2284090909
02/2020,13776.15275
03/2020,15194.5738095238
04/2020,15867.4319047619
05/2020,14906.1909375
06/2020,14195.955
07/2020,14582.4111363636
08/2020,14724.5025
09/2020,14847.9565909091
10/2020,14749.1379545455
11/2020,14236.8121428571
12/2020,14173.0884782609
01/2021,14061.9025
02/2021,14042.1025
03/2021,14417.3934782609
04/2021,14558.1840909091
05/2021,14323.1926190476
06/2021,14338.2288636364
07/2021,14511.1921428571
08/2021,14397.702
09/2021,14256.9570454545
10/2021,14198.45275
11/2021,14263.5029545455
12/2021,14328.9158695652
01/2022,14335.2404761905
02/2022,14351.0580555556
03/2022,14348.6390909091
04/2022,14368.7389473684
05/2022,14608.0026666667
06/2022,14688.5733333333
07/2022,14984.3814285714
08/2022,14850.6368181818
09/2022,14971.7729545455
10/2022,15417.4761904762
11/2022,15658.7272727273
12/2022,15615
01/2023,15295.2380952381
02/2023,15126
03/2023,15300.7142857143
04/2023,14866.7142857143
05/2023,14810.8573809524
06/2023,14932.0002941176
07/2023,15039.75
08/2023,15245.1365909091
09/2023,15354.2
10/2023,15741.2275
11/2023,15617.4090909091
12/2023,15513.3684210526
01/2024,15610.8186363636
02/2024,15665.3336111111
03/2024,15702.6111111111
04/2024,16100
05/2024,16083.9447222222
06/2024,16329.3888888889
07/2024,16261.652826087
08/2024,15793.1818181818
09/2024,15341.25
10/2024,15541.347826087
11/2024,15812.35
12/2024,16023.5
