date,COP to USD
1990Q1,451.7333333
1990Q2,485.9733333
1990Q3,519.61
1990Q4,551.7233333
1991Q1,583.97
1991Q2,613.8766667
1991Q3,646.8266667
1991Q4,663.9366667
1992Q1,640.3466667
1992Q2,661.5866667
1992Q3,698.4433333
1992Q4,721.1666667
1993Q1,752.9933333
1993Q2,778.58
1993Q3,803.1166667
1993Q4,810.6966667
1994Q1,817.86
1994Q2,834.08
1994Q3,821.3133333
1994Q4,832.9066667
1995Q1,854.4533333
1995Q2,875.0666667
1995Q3,930.83
1995Q4,991.23
1996Q1,1028.603333
1996Q2,1063.043333
1996Q3,1049.926667
1996Q4,1004.916667
1997Q1,1054.486667
1997Q2,1072.733333
1997Q3,1152.53
1997Q4,1284.716667
1998Q1,1342.126667
1998Q2,1377.846667
1998Q3,1427.506667
1998Q4,1558.216667
1999Q1,1562.41
1999Q2,1636.663333
1999Q3,1890.4
1999Q4,1937.27
2000Q1,1943.486667
2000Q2,2054.21
2000Q3,2187.493333
2000Q4,2166.483333
2001Q1,2254.533333
2001Q2,2325.23
2001Q3,2307.136667
2001Q4,2312.673333
2002Q1,2281.33
2002Q2,2312.533333
2002Q3,2635.056667
2002Q4,2789.803333
2003Q1,2941.29
2003Q2,2870.836667
2003Q3,2855.396667
2003Q4,2842.65
2004Q1,2712.626667
2004Q2,2691.863333
2004Q3,2601.563333
2004Q4,2507.42
2005Q1,2352.386667
2005Q2,2340.34
2005Q3,2308.03
2005Q4,2283.77
2006Q1,2264.086667
2006Q2,2431.506667
2006Q3,2433.423333
2006Q4,2305.361754
2007Q1,2222.026667
2007Q2,2025.423333
2007Q3,2042.066667
2007Q4,2021.727167
2008Q1,1910.253333
2008Q2,1762.14
2008Q3,1897.806667
2008Q4,2290.35
2009Q1,2414.643333
2009Q2,2233.116667
2009Q3,2017.473333
2009Q4,1965.16
2010Q1,1946.726667
2010Q2,1950.206667
2010Q3,1833.06
2010Q4,1865.996667
2011Q1,1877.876667
2011Q2,1798.986667
2011Q3,1794.313333
2011Q4,1920.89
2012Q1,1800.673333
2012Q2,1786.99
2012Q3,1797.983333
2012Q4,1806.4
2013Q1,1790.46
2013Q2,1863.193333
2013Q3,1907.883333
2013Q4,1914.043333
2014Q1,2007.703333
2014Q2,1914.276667
2014Q3,1909.603333
2014Q4,2172.836667
2015Q1,2468.216667
2015Q2,2496.463333
2015Q3,2942.77
2015Q4,3059.676667
2016Q1,3262.263333
2016Q2,2992.923333
2016Q3,2949.653333
2016Q4,3016.18
2017Q1,2923.273333
2017Q2,2918.636667
2017Q3,2976.58713
2017Q4,2987.450515
2018Q1,2860.305967
2018Q2,2838.536318
2018Q3,2960.955981
2018Q4,3163.017613
2019Q1,3135.068775
2019Q2,3240.576667
2019Q3,3340.126667
2019Q4,3410.716667
2020Q1,3531.873333
2020Q2,3847.633333
2020Q3,3732.853333
2020Q4,3660.743333
2021Q1,3554.653333
2021Q2,3695.603333
2021Q3,3846.733333
2021Q4,3879.986667
2022Q1,3914.866667
2022Q2,3915.496667
2022Q3,4386.03
2022Q4,4808.383333
2023Q1,4758.63
2023Q2,4426.366667
2023Q3,4047.636667
2023Q4,4071.186667
2024Q1,3920.24
2024Q2,3928.59
2024Q3,4097.213333
2024Q4,4351.693333
