date,HNL to USD
1990Q1,4
1990Q2,4.2
1990Q3,4.2
1990Q4,5.3
1991Q1,5.3
1991Q2,5.3
1991Q3,5.3
1991Q4,5.4
1992Q1,5.4
1992Q2,5.439884
1992Q3,5.64
1992Q4,5.83
1993Q1,5.86
1993Q2,6.34
1993Q3,6.91
1993Q4,7.26
1994Q1,7.63
1994Q2,8.686
1994Q3,9.0379
1994Q4,9.4001
1995Q1,9.1327
1995Q2,9.3162
1995Q3,9.6945
1995Q4,10.3432
1996Q1,10.9812
1996Q2,11.788
1996Q3,12.4892
1996Q4,12.8694
1997Q1,12.7447
1997Q2,13.0705
1997Q3,13.0869
1997Q4,13.0942
1998Q1,13.1619
1998Q2,13.3432
1998Q3,13.5456
1998Q4,13.81
1999Q1,13.9927
1999Q2,14.1922
1999Q3,14.3689
1999Q4,14.5039
2000Q1,14.6751
2000Q2,14.8149
2000Q3,15.0144
2000Q4,15.1407
2001Q1,15.2823
2001Q2,15.4622
2001Q3,15.6438
2001Q4,15.9197
2002Q1,16.1912
2002Q2,16.4279
2002Q3,16.6731
2002Q4,16.9233
2003Q1,17.1423
2003Q2,17.3392
2003Q3,17.5642
2003Q4,17.7482
2004Q1,17.985
2004Q2,18.2012
2004Q3,18.4412
2004Q4,18.6328
2005Q1,18.7846
2005Q2,18.8649
2005Q3,18.8901
2005Q4,18.8952
2006Q1,18.8952
2006Q2,18.8952
2006Q3,18.8951
2006Q4,18.8952
2007Q1,18.8951
2007Q2,18.8951
2007Q3,18.8951
2007Q4,18.8951
2008Q1,18.8982
2008Q2,18.8968
2008Q3,18.8951
2008Q4,18.8951
2009Q1,18.8951
2009Q2,18.8951
2009Q3,18.8951
2009Q4,18.8951
2010Q1,18.8951
2010Q2,18.8951
2010Q3,18.8951
2010Q4,18.8951
2011Q1,18.8951
2011Q2,18.8951
2011Q3,18.9615
2011Q4,19.0484
2012Q1,19.2782
2012Q2,19.4927
2012Q3,19.7317
2012Q4,19.9623
2013Q1,20.1805
2013Q2,20.4164
2013Q3,20.5467
2013Q4,20.5975
2014Q1,20.7511
2014Q2,20.97
2014Q3,21.2381
2014Q4,21.5124
2015Q1,21.9032
2015Q2,21.9052
2015Q3,21.983
2015Q4,22.3676
2016Q1,22.6359
2016Q2,22.7892
2016Q3,23.0306
2016Q4,23.5029
2017Q1,23.494
2017Q2,23.4445
2017Q3,23.3934
2017Q4,23.5879
2018Q1,23.6399
2018Q2,23.9848
2018Q3,24.0568
2018Q4,24.3388
2019Q1,24.4316
2019Q2,24.5076
2019Q3,24.623
2019Q4,24.635
2020Q1,24.754
2020Q2,24.7149
2020Q3,24.4482
2020Q4,24.1141
2021Q1,24.0275
2021Q2,23.8651
2021Q3,24.0813
2021Q4,24.3454
2022Q1,24.3406
2022Q2,24.4124
2022Q3,24.6359
2022Q4,24.5978
2023Q1,24.5805
2023Q2,24.5932
2023Q3,24.6419
2023Q4,24.6513
2024Q1,24.6648
2024Q2,24.7436
2024Q3,24.8381
2024Q4,25.38
