date,VND to USD
1990Q1,5479.329529
1990Q2,5698.50271
1990Q3,6881.018478
1990Q4,8091.568025
1991Q1,8962.314191
1991Q2,9344.592995
1991Q3,10457.44907
1991Q4,11723.21667
1992Q1,11624.93333
1992Q2,11325.5
1992Q3,11033.66667
1992Q4,10824.66667
1993Q1,10519.16667
1993Q2,10561.66667
1993Q3,10674.33333
1993Q4,10808.66667
1994Q1,10886.33333
1994Q2,10961.66667
1994Q3,10991.33333
1994Q4,11023.33333
1995Q1,11051
1995Q2,11049.66667
1995Q3,11039
1995Q4,11013.33333
1996Q1,11013.66667
1996Q2,11014.33333
1996Q3,11019
1996Q4,11083.33333
1997Q1,11293.66667
1997Q2,11656
1997Q3,11688.66667
1997Q4,12095
1998Q1,12633.66667
1998Q2,12983.66667
1998Q3,13555
1998Q4,13899.66667
1999Q1,13888.66667
1999Q2,13910.33333
1999Q3,13960.33333
1999Q4,14013.33333
2000Q1,14053.33333
2000Q2,14075
2000Q3,14119.66667
2000Q4,14423
2001Q1,14547.66667
2001Q2,14643.33333
2001Q3,14658.33333
2001Q4,15051.33333
2002Q1,15164.66667
2002Q2,15253.33333
2002Q3,15323.66667
2002Q4,15376.33333
2003Q1,15426
2003Q2,15472
2003Q3,15522
2003Q4,15618.33333
2004Q1,15717.33333
2004Q2,15735
2004Q3,15750.66667
2004Q4,15781
2005Q1,15808.66667
2005Q2,15842
2005Q3,15878
2005Q4,15907
2006Q1,15920.66667
2006Q2,15964
2006Q3,16015.33333
2006Q4,16077
2007Q1,16022.33333
2007Q2,16070
2007Q3,16205.83333
2007Q4,16122.33333
2008Q1,16059.33333
2008Q2,16109.66667
2008Q3,16503.33333
2008Q4,16536.66667
2009Q1,16974
2009Q2,16941.66667
2009Q3,16971
2009Q4,17373.66667
2010Q1,18242.66667
2010Q2,18544
2010Q3,18733
2010Q4,18932
2011Q1,19974.33333
2011Q2,20671.33333
2011Q3,20618.66667
2011Q4,20774.66667
2012Q1,20828
2012Q2,20828
2012Q3,20828
2012Q4,20828
2013Q1,20828
2013Q2,20833.66667
2013Q3,21036
2013Q4,21036
2014Q1,21036
2014Q2,21064
2014Q3,21246
2014Q4,21246
2015Q1,21450.66667
2015Q2,21601.33333
2015Q3,21848.27
2015Q4,21890
2016Q1,21889.47333
2016Q2,21886.22
2016Q3,21891.24667
2016Q4,22073.06333
2017Q1,22216.03667
2017Q2,22371.08667
2017Q3,22442.16
2017Q4,22451.06333
2018Q1,22434.71333
2018Q2,22553.45
2018Q3,22675.54667
2018Q4,22744.49
2019Q1,22902.07
2019Q2,23036.99
2019Q3,23108.47
2019Q4,23153.43667
2020Q1,23201.97333
2020Q2,23244.64
2020Q3,23212.8
2020Q4,23174.06
2021Q1,23157.19037
2021Q2,23167.78
2021Q3,23160.95
2021Q4,23153.21
2022Q1,23123.31
2022Q2,23108.19667
2022Q3,23224.13667
2022Q4,23629.20667
2023Q1,23618.78
2023Q2,23681.03667
2023Q3,23894.27333
2023Q4,23955.18667
2024Q1,23984.68333
2024Q2,24203.16667
2024Q3,24220.31667
